"Date","Price","Open","High","Low","Change %"
"01/01/2020","1.5790","1.5790","1.5790","1.5790","-0.19%"
"01/02/2020","1.5760","1.5790","1.5840","1.5580","-0.19%"
"01/03/2020","1.5420","1.5660","1.5740","1.5270","-2.16%"
"01/06/2020","1.5480","1.5420","1.5550","1.5320","0.39%"
"01/07/2020","1.5370","1.5370","1.5450","1.5270","-0.71%"
"01/08/2020","1.5400","1.5370","1.5530","1.5140","0.20%"
"01/09/2020","1.5370","1.5810","1.5810","1.5370","-0.19%"
"01/10/2020","1.5240","1.5840","1.5840","1.5240","-0.85%"
"01/13/2020","1.5320","1.5320","1.5370","1.5210","0.52%"
"01/14/2020","1.5340","1.5320","1.5780","1.5260","0.13%"
"01/15/2020","1.5440","1.5780","1.5780","1.5260","0.65%"
"01/16/2020","1.5470","1.5420","1.5940","1.5420","0.19%"
"01/17/2020","1.5550","1.5880","1.5880","1.5390","0.52%"
"01/20/2020","1.5547","1.5547","1.5547","1.5547","-0.02%"
"01/21/2020","1.5360","1.6040","1.6040","1.5340","-1.20%"
"01/22/2020","1.5440","1.5360","1.5830","1.5360","0.52%"
"01/23/2020","1.5550","1.5420","1.5620","1.5340","0.71%"
"01/24/2020","1.5390","1.5570","1.5620","1.5280","-1.03%"
"01/27/2020","1.5410","1.5490","1.5590","1.5210","0.13%"
"01/28/2020","1.5440","1.5390","1.5650","1.5310","0.19%"
"01/29/2020","1.5110","1.5400","1.5430","1.5060","-2.14%"
"01/30/2020","1.4780","1.5170","1.5190","1.4650","-2.18%"
"01/31/2020","1.4440","1.5010","1.5010","1.4440","-2.30%"
"02/03/2020","1.4590","1.4570","1.4750","1.4460","1.04%"
"02/04/2020","1.4850","1.4690","1.4880","1.4590","1.78%"
"02/05/2020","1.4950","1.4800","1.5110","1.4800","0.67%"
"02/06/2020","1.5060","1.5060","1.5060","1.4880","0.74%"
"02/07/2020","1.4870","1.5030","1.5160","1.4800","-1.26%"
"02/10/2020","1.4640","1.4950","1.4950","1.4640","-1.55%"
"02/11/2020","1.4820","1.4720","1.4850","1.4720","1.23%"
"02/12/2020","1.4930","1.4900","1.4980","1.4800","0.74%"
"02/13/2020","1.4930","1.5030","1.5160","1.4740","0.00%"
"02/14/2020","1.4770","1.4970","1.5080","1.4740","-1.07%"
"02/17/2020","1.4819","1.4845","1.4845","1.4819","0.33%"
"02/18/2020","1.4770","1.4790","1.4950","1.4690","-0.33%"
"02/19/2020","1.4820","1.4870","1.4970","1.4740","0.34%"
"02/20/2020","1.4690","1.4900","1.5000","1.4610","-0.88%"
